SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
152,3.09236948,305.5286322,0.00494767,0.083198968,0.32337662,0.44444444,9,6,0.010178133,3.430444241,FALSE,3.555555556,GSTP1,11.66666667,4.978571429,9,0,0,0.7675145,FALSE,0,GSTP1,2822,4153817.5,0.18943534
223,2.98795181,917.4343158,0.01485675,0.083902439,0.33467742,0.19444444,9,7,0.013208558,3.430444241,FALSE,1.555555556,FGG,11.88888889,2.708333333,9,0,0,0.77911647,FALSE,0,FGG,5364,6995416.5,0.16825397
250,3.28915663,497.4147482,0.00805504,0.081904762,0.3040293,0.33333333,9,6,0.005746109,3.430444241,FALSE,2.666666667,GSR,8.22222222,4.028571429,9,0,0,0.74564926,FALSE,0,GSR,3096,1323988.875,0.22222222
314,3.31325301,1769.491664,0.02865481,0.081749049,0.30181818,0.36111111,9,6,0.005002576,3.430444241,FALSE,2.888888889,TYMS,8.66666667,4.670238095,9,0,0,0.74297189,FALSE,0,TYMS,14104,1003682.563,0.24074074
347,3,157.4752791,0.00255012,0.083820663,0.33333333,0.27777778,9,6,0.02107917,3.430444241,FALSE,2.222222222,CASP1,15.33333333,2.607142857,9,0,0,0.77777778,FALSE,0,CASP1,1216,1.78E+07,0.21587302
469,3.18072289,566.1930872,0.00916882,0.082612872,0.31439394,0.27777778,9,6,0.012604143,3.430444241,FALSE,2.222222222,SIRT2,13.66666667,3.125,9,0,0,0.75769746,FALSE,0,SIRT2,7912,6371094.5,0.24646465
548,2.95180723,307.3254032,0.00497677,0.084148728,0.33877551,0.38888889,9,6,0.021859892,3.430444241,FALSE,3.111111111,MMP1,16.22222222,4.416666667,9,0,0,0.78313253,FALSE,0,MMP1,2498,1.92E+07,0.20393812
959,2.96385542,41.32213446,6.69E-04,0.084066471,0.33739837,0.55555556,9,6,0.025430376,3.430444241,FALSE,4.444444444,THRA,20.66666667,5,9,0,0,0.78179384,FALSE,0,THRA,516,2.59E+07,0.24899598
79,2.81927711,42.89498427,6.95E-04,0.085064293,0.35470085,0.5,8,6,0.031941883,3.305427074,FALSE,3.5,CCNE1,25.375,4,8,0,0,0.7978581,FALSE,0,CCNE1,726,4.09E+07,0.26432292
124,2.91566265,358.5990543,0.00580708,0.084396467,0.34297521,0.28571429,8,6,0.010272606,3.305427074,FALSE,2,ACE,12.125,2.747619048,8,0,0,0.78714859,FALSE,0,ACE,2472,4231268,0.17321429
